"","Grenada","Barbados","Saint Vincent","Saint Lucia","Martinique","Dominica","Saint Louis","Guadeloupe","Montserrat","Antigua","Saint Kitts","Barbuda","Hispaniola","Saint Croix","Jamaica","Puerto Rico","Saint Martin","Vieques","St. Thomas","Gonave Island","Grand Cayman","Cuba","Tortuga","Great Inagua Island","Little Inagua","Isla de la Juventud","East Caicos","Middle Caicos","Providenciales","North Caicos","Acklins Island","Mayaguana","Crooked Island","Long Island","Great Exuma","South Andros","San Salvador Island","Mangrove Cay","Cat Island","North Andros","Eleuthera","New Providence","Great Abaco Island","Grand Bahama Island"
"Grenada",NA,0.0952380952380952,0.0232558139534884,0.0119047619047619,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbados",NA,NA,NA,0.0119047619047619,0.00961538461538462,0.0147058823529412,0.0165289256198347,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Vincent",0.285714285714286,0.273809523809524,NA,0.0238095238095238,0.00961538461538462,0.0147058823529412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Lucia",0.214285714285714,0.642857142857143,0.0465116279069767,NA,0.0673076923076923,0.0735294117647059,0.0413223140495868,0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Martinique",0.285714285714286,0.678571428571429,0.232558139534884,0.178571428571429,NA,0.102941176470588,0.0578512396694215,0.0714285714285714,NA,NA,NA,0.0163934426229508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Dominica",0.125,0.345238095238095,0.186046511627907,0.30952380952381,0.201923076923077,NA,0.0330578512396694,0.0357142857142857,0.0625,NA,NA,0.0245901639344262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Louis",0.214285714285714,0.345238095238095,0.27906976744186,0.333333333333333,0.298076923076923,0.205882352941176,NA,0.0892857142857143,0.25,0.142857142857143,0.166666666666667,0.0409836065573771,NA,NA,NA,NA,0.0238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Guadeloupe",0.0892857142857143,0.154761904761905,0.13953488372093,0.130952380952381,0.221153846153846,0.397058823529412,0.0909090909090909,NA,0.125,0.0714285714285714,0.0666666666666667,0.0491803278688525,NA,NA,NA,NA,0.0238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Montserrat",0.0357142857142857,0.0357142857142857,0.0465116279069767,0.0357142857142857,0.0480769230769231,0.0882352941176471,0.0743801652892562,0.142857142857143,NA,0.0714285714285714,0.0333333333333333,0.0163934426229508,NA,NA,NA,NA,0.0238095238095238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Antigua",NA,0.0952380952380952,NA,0.0357142857142857,0.0480769230769231,0.161764705882353,0.15702479338843,0.142857142857143,0.125,NA,NA,0.0327868852459016,NA,NA,NA,NA,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Kitts",0.0535714285714286,0.0595238095238095,0.0697674418604651,0.0714285714285714,0.0576923076923077,0.132352941176471,0.12396694214876,0.142857142857143,0.25,0.214285714285714,NA,0.0327868852459016,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Barbuda",0.0714285714285714,0.226190476190476,0.13953488372093,0.154761904761905,0.182692307692308,0.5,0.264462809917355,0.142857142857143,0.125,0.107142857142857,0.0666666666666667,NA,0.00689655172413793,NA,NA,0.0087719298245614,0.0476190476190476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Hispaniola",0.392857142857143,0.214285714285714,0.372093023255814,0.321428571428571,0.307692307692308,0.294117647058824,0.28099173553719,0.232142857142857,0.5625,0.214285714285714,0.366666666666667,0.221311475409836,NA,0.5,0.166666666666667,0.315789473684211,0.285714285714286,0.326923076923077,0.214285714285714,0.25,0.032258064516129,0.0307692307692308,0.333333333333333,0.193548387096774,0.117647058823529,0.0128205128205128,0.0540540540540541,0.0285714285714286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Croix",0.0535714285714286,0.0238095238095238,0.0232558139534884,0.0357142857142857,0.0384615384615385,0.0441176470588235,0.0495867768595041,0.0178571428571429,0.0625,0.0714285714285714,0.0666666666666667,0.0409836065573771,NA,NA,NA,0.0087719298245614,0.142857142857143,0.0384615384615385,0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Jamaica",0.0714285714285714,0.0714285714285714,0.0697674418604651,0.0476190476190476,0.0384615384615385,0.0294117647058824,0.0247933884297521,NA,NA,NA,0.0333333333333333,0.0327868852459016,0.0482758620689655,NA,NA,0.0350877192982456,0.0238095238095238,0.0192307692307692,0.0178571428571429,NA,0.032258064516129,0.0461538461538462,NA,NA,NA,0.0128205128205128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Puerto Rico",0.142857142857143,0.0833333333333333,0.162790697674419,0.178571428571429,0.192307692307692,0.205882352941176,0.247933884297521,0.214285714285714,0.4375,0.285714285714286,0.466666666666667,0.221311475409836,0.0344827586206897,0.75,NA,NA,0.428571428571429,0.115384615384615,0.178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Saint Martin",0.0178571428571429,0.0357142857142857,NA,0.0238095238095238,0.0288461538461538,0.0882352941176471,0.0909090909090909,0.0892857142857143,0.1875,0.321428571428571,0.2,0.0983606557377049,NA,0.0833333333333333,NA,NA,NA,0.0192307692307692,0.0178571428571429,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Vieques",0.0357142857142857,0.0238095238095238,NA,0.0238095238095238,0.0288461538461538,0.0735294117647059,0.0909090909090909,0.0714285714285714,0.125,0.142857142857143,0.3,0.10655737704918,0.00689655172413793,0.5,NA,0.0263157894736842,0.261904761904762,NA,0.0714285714285714,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"St. Thomas",0.0357142857142857,0.0238095238095238,NA,0.0238095238095238,0.0288461538461538,0.0735294117647059,0.0826446280991736,0.0535714285714286,0.125,0.178571428571429,0.266666666666667,0.10655737704918,0.00689655172413793,0.5,NA,0.0526315789473684,0.261904761904762,0.0384615384615385,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Gonave Island",0.0178571428571429,NA,NA,NA,0.00961538461538462,0.0147058823529412,0.0165289256198347,0.0178571428571429,0.0625,NA,0.0333333333333333,0.00819672131147541,0.00689655172413793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
