"","Acklins_Island","Antigua","Barbados","Barbuda","Cat_Island","Crooked_Island","Cuba","Dominica","East_Caicos","Eleuthera","Gonave_Island","Grand_Bahama_Island","Grand_Cayman","Great_Abaco_Island","Great_Exuma","Great_Inagua_Island","Grenada","Guadeloupe","Hispaniola","Isla_de_la_Juventud","Jamaica","Little_Inagua","Long_Island","Mangrove_Cay","Martinique","Mayaguana","Middle_Caicos","Montserrat","New_Providence","North_Andros","North_Caicos","Providenciales","Puerto_Rico","Saint_Croix","Saint_Kitts","Saint_Louis","Saint_Lucia","Saint_Martin","Saint_Vincent","San_Salvador_Island","South_Andros","St._Thomas","Tortuga","Vieques"
"Acklins_Island",NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0
"Antigua",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Barbados",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Barbuda",NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0
"Cat_Island",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Crooked_Island",NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0
"Cuba",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Dominica",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"East_Caicos",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Eleuthera",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Gonave_Island",NA,0,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,NA,0,NA,0,NA,0
"Grand_Bahama_Island",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
"Grand_Cayman",0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,1
