,Acklins_Island,Antigua,Barbados,Barbuda,Cat_Island,Crooked_Island,Cuba,Dominica,East_Caicos,Eleuthera,Gonave_Island,Grand_Bahama_Island,Grand_Cayman,Great_Abaco_Island,Great_Exuma,Great_Inagua_Island,Grenada,Guadeloupe,Hispaniola,Isla_de_la_Juventud,Jamaica,Little_Inagua,Long_Island,Mangrove_Cay,Martinique,Mayaguana,Middle_Caicos,Montserrat,New_Providence,North_Andros,North_Caicos,Providenciales,Puerto_Rico,Saint_Croix,Saint_Kitts,Saint_Louis,Saint_Lucia,Saint_Martin,Saint_Vincent,San_Salvador_Island,South_Andros,St._Thomas,Tortuga,Vieques
Acklins_Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Antigua,NA,NA,0,NA,0,NA,0,0,0,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0
Barbados,NA,0,NA,NA,0.5,NA,0.5,0,0,0.5,NA,0.5,0.5,0.5,0.5,NA,NA,0,0,0.5,0.5,NA,0.5,0.5,0,NA,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,NA,0
Barbuda,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cat_Island,NA,0,0.5,NA,NA,NA,0,0.5,0,0,NA,0.5,0.5,0,0,NA,NA,0.5,0.5,0.5,0.5,NA,0,0,0.5,NA,0,0,0,0,0,0.5,0.5,0,0,0,0.5,0,1,0.5,0,0.5,NA,0
Crooked_Island,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Cuba,NA,0,0.5,NA,0,NA,NA,0.5,0,0,NA,0,0,0,0,NA,NA,0.5,0.5,0,0,NA,0,0,0.5,NA,0,0,0,0,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
Dominica,NA,0,0,NA,0.5,NA,0.5,NA,0,0.5,NA,0.5,0.5,0.5,0.5,NA,NA,0,0,0.5,0.5,NA,0.5,0.5,0,NA,0,0,0.5,0.5,0,0.5,0,0,0,0,0,0,0,0.5,1,0.5,NA,0
East_Caicos,NA,0,0,NA,0,NA,0,0,NA,0,NA,0,0,0,0,NA,NA,0,0,0,0,NA,0,0,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,NA,0
Eleuthera,NA,0,0.5,NA,0,NA,0,0.5,0,NA,NA,0,0,0,0,NA,NA,0.5,0.333333333,0.333333333,0,NA,0,0,0.5,NA,0,0,0,0,0,0,0.333333333,0,0,0,0.5,0,1,0,0,0,NA,0
